Wavelength,Element,Spectrum
434.,O,VII
434.070,O,I]
434.110,O,I]
434.110,O,I]
434.110,O,I]
434.148,O,I]
434.148,O,I]
434.148,O,I]
434.148,O,I]
434.1544,O,II
434.167,O,VIII
434.217,O,I]
434.217,O,I]
434.234,O,II]
434.24505,O,I]
434.28237,O,I]
434.2862,C,I
434.32234,O,II
434.3415,C,I
434.3622,C,I
434.368,O,I]
434.368,O,I]
434.368,O,I]
434.3839,O,III
434.4022,O,II
434.4034,O,III
434.4035,O,II
434.406,O,I]
434.406,O,I]
434.406,O,I]
434.406,O,I]
434.42,O,V
434.4415,O,II
434.4428,O,II
434.45820,O,II
434.47224,O,II
434.476,O,I]
434.476,O,I]
434.5319,C,I
434.550,O,IV
434.550,O,IV
434.550,O,IV
434.5527,C,I
434.55724,O,I]
434.55724,O,I]
434.55724,O,I]
434.55724,O,I]
434.55724,O,I]
434.5920,O,III
434.5993,O,III
434.607,O,II
434.67815,O,II
434.702,O,I]
434.702,O,I]
434.702,O,I]
434.724,O,II
434.741,O,I]
434.741,O,I]
434.741,O,I]
434.741,O,I]
434.7475,O,III
434.810,O,I]
434.810,O,I]
434.8240,O,III]
434.8439,O,II
434.8446,O,II
434.8635,O,II
434.8942,O,II
434.93340,O,I
434.93340,O,I]
434.93340,O,I]
434.93359,O,I
434.93359,O,I
434.93359,O,I]
434.93359,O,I]
434.93359,O,I]
434.9611,O,II
434.97103,O,I
434.97103,O,I
434.97103,O,I]
434.97103,O,I]
434.97103,O,I]
434.973,O,I]
434.973,O,I]
434.973,O,I]
435.008,C,III
435.014,C,III
435.014,C,III
435.0188,C,I
435.022,C,III
435.022,C,III
435.022,C,III
435.06487,O,II
435.071,O,I]
435.071,O,I]
435.071,O,I]
435.109,O,I]
435.109,O,I]
435.109,O,I]
435.109,O,I]
435.179,O,I]
435.179,O,I]
435.2371,O,II]
435.2483,O,II
435.2680,O,II
435.3616,O,III]
435.3781,C,I]
435.406,O,I]
435.4244,O,II]
435.473,O,I]
